dtor     D               dtor.c:196  _al_register_destructor          [   0.05774] added dtor for sample_instance 00ECD790, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05776] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05777] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05778] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05779] added dtor for sample_instance 00ECDC40, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05780] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05781] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05783] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05784] added dtor for sample_instance 00ECD100, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05786] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05788] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05789] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05790] added dtor for sample_instance 00ECD2E0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05792] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05793] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05794] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05796] added dtor for sample_instance 00ECD880, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05798] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05799] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05800] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05801] added dtor for sample_instance 00ECCF20, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05803] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05804] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05805] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05807] added dtor for sample_instance 028027A0, func 61DBB8F3
